PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
168.0,191.0,89.0,169.0,2600.0,30.0,6.3,1009.6,-7.0,0.0,NE,0.7,Dongsi,2013-03-06 03:00:00
155.0,182.0,84.0,163.0,2500.0,30.0,5.1,1009.5,-6.5,0.0,NE,1.0,Dongsi,2013-03-06 04:00:00
152.0,176.0,86.0,172.0,2399.0,30.0,4.6,1009.8,-6.3,0.0,NE,0.7,Dongsi,2013-03-06 05:00:00
154.0,181.0,95.0,163.0,2700.0,30.0,4.1,1010.3,-6.2,0.0,N,0.8,Dongsi,2013-03-06 06:00:00
190.0,194.0,105.0,156.0,2600.0,30.0,5.3,1011.0,-6.0,0.0,NE,0.9,Dongsi,2013-03-06 07:00:00
193.0,199.0,78.0,134.0,2200.0,30.0,6.9,1010.8,-6.5,0.0,NNW,1.3,Dongsi,2013-03-06 08:00:00
185.0,200.0,76.0,129.0,2399.0,30.0,8.4,1010.8,-6.6,0.0,N,0.8,Dongsi,2013-03-06 09:00:00
138.0,172.0,74.0,124.0,2299.0,30.0,8.8,1010.4,-6.2,0.0,NE,1.1,Dongsi,2013-03-06 10:00:00
177.0,177.0,82.0,130.0,2399.0,30.0,9.5,1009.5,-6.0,0.0,ENE,1.0,Dongsi,2013-03-06 11:00:00
182.0,197.0,88.0,138.0,2600.0,30.0,10.4,1008.5,-5.6,0.0,ENE,0.2,Dongsi,2013-03-06 12:00:00
198.0,220.0,99.0,149.0,2600.0,30.0,11.5,1007.6,-5.1,0.0,SSE,0.8,Dongsi,2013-03-06 13:00:00
221.0,245.0,107.0,157.0,2799.0,30.0,13.2,1006.9,-4.5,0.0,SSW,1.0,Dongsi,2013-03-06 14:00:00
240.0,258.0,109.0,162.0,3000.0,30.0,14.7,1007.0,-4.6,0.0,SW,1.3,Dongsi,2013-03-06 15:00:00
245.0,261.0,123.0,164.0,3200.0,30.0,14.6,1007.2,-4.7,0.0,SSW,0.0,Dongsi,2013-03-06 16:00:00
239.0,264.0,128.0,185.0,3500.0,30.0,11.8,1007.9,-4.4,0.0,W,0.6,Dongsi,2013-03-06 17:00:00
240.0,275.0,133.0,185.0,3299.0,22.0,8.5,1008.5,-4.0,0.0,WNW,0.0,Dongsi,2013-03-06 18:00:00
245.0,289.0,119.0,183.0,3500.0,22.0,8.5,1009.3,-4.4,0.0,WSW,0.4,Dongsi,2013-03-06 19:00:00
244.0,292.0,117.0,178.0,3600.0,22.0,5.8,1009.9,-3.6,0.0,WSW,0.2,Dongsi,2013-03-06 20:00:00
247.0,293.0,120.0,173.0,3899.0,22.0,5.3,1009.4,-4.0,0.0,WSW,0.7,Dongsi,2013-03-06 21:00:00
248.0,285.0,124.0,167.0,4500.0,22.0,8.3,1009.3,-3.6,0.0,SE,1.8,Dongsi,2013-03-06 22:00:00
246.0,283.0,120.0,163.0,4500.0,22.0,5.0,1009.4,-3.3,0.0,NNE,1.0,Dongsi,2013-03-06 23:00:00
251.0,280.0,112.0,158.0,4400.0,22.0,2.9,1009.2,-3.2,0.0,E,0.6,Dongsi,2013-03-07 00:00:00
245.0,274.0,114.0,156.0,4299.0,22.0,2.2,1009.0,-3.3,0.0,WSW,1.6,Dongsi,2013-03-07 01:00:00
253.0,278.0,106.0,151.0,4000.0,22.0,3.3,1008.9,-3.3,0.0,ENE,1.6,Dongsi,2013-03-07 02:00:00
250.0,272.0,94.0,144.0,3899.0,22.0,1.2,1008.3,-3.9,0.0,SSE,0.4,Dongsi,2013-03-07 03:00:00
242.0,266.0,86.0,144.0,4400.0,22.0,0.9,1008.5,-2.5,0.0,NE,1.4,Dongsi,2013-03-07 04:00:00
242.0,264.0,71.0,139.0,4799.0,22.0,0.5,1008.6,-3.4,0.0,E,0.9,Dongsi,2013-03-07 05:00:00
242.0,262.0,66.0,144.0,5500.0,22.0,-0.4,1008.4,-3.3,0.0,E,0.1,Dongsi,2013-03-07 06:00:00
261.0,281.0,78.0,165.0,6200.0,22.0,2.6,1008.7,-1.8,0.0,N,0.0,Dongsi,2013-03-07 07:00:00
292.0,314.0,100.0,174.0,6599.0,22.0,8.9,1008.7,-2.1,0.0,ESE,0.9,Dongsi,2013-03-07 08:00:00
300.0,337.0,134.0,181.0,5299.0,22.0,9.4,1007.9,-2.6,0.0,E,1.1,Dongsi,2013-03-07 09:00:00
289.0,313.0,126.0,180.0,4200.0,22.0,10.5,1007.2,-2.6,0.0,E,1.0,Dongsi,2013-03-07 10:00:00
260.0,279.0,120.0,219.0,5099.0,22.0,14.7,1005.5,-2.3,0.0,ESE,3.2,Dongsi,2013-03-07 11:00:00
288.0,324.0,121.0,254.0,5200.0,22.0,16.0,1003.2,-2.5,0.0,SSE,2.7,Dongsi,2013-03-07 12:00:00
312.0,319.0,108.0,202.0,3600.0,38.0,17.9,1001.8,-3.0,0.0,SSW,2.5,Dongsi,2013-03-07 13:00:00
295.0,297.0,87.0,150.0,3299.0,87.0,18.1,1000.5,-3.4,0.0,SW,1.8,Dongsi,2013-03-07 14:00:00
308.0,322.0,73.0,133.0,3100.0,105.0,19.5,999.3,-4.8,0.0,SW,3.0,Dongsi,2013-03-07 15:00:00
243.0,293.0,48.0,97.0,2000.0,107.0,19.1,998.9,-3.8,0.0,SSE,0.9,Dongsi,2013-03-07 16:00:00
214.0,219.0,60.0,102.0,2000.0,107.0,17.3,998.5,-3.5,0.0,SE,0.4,Dongsi,2013-03-07 17:00:00
206.0,224.0,60.0,127.0,2100.0,107.0,12.5,998.9,-2.2,0.0,N,0.7,Dongsi,2013-03-07 18:00:00
193.0,211.0,60.0,171.0,2399.0,20.0,11.2,999.4,-1.6,0.0,N,1.0,Dongsi,2013-03-07 19:00:00
184.0,244.0,80.0,221.0,3700.0,107.0,10.2,999.6,0.2,0.0,NW,0.5,Dongsi,2013-03-07 20:00:00
258.0,349.0,103.0,257.0,5000.0,107.0,8.6,999.5,0.1,0.0,N,0.6,Dongsi,2013-03-07 21:00:00
438.0,552.0,114.0,258.0,5500.0,107.0,8.1,1000.1,-0.9,0.0,E,0.8,Dongsi,2013-03-07 22:00:00
520.0,585.0,110.0,249.0,5400.0,107.0,7.0,1000.0,-1.4,0.0,SE,0.4,Dongsi,2013-03-07 23:00:00
488.0,518.0,115.0,241.0,4799.0,107.0,5.4,1000.0,-1.5,0.0,ENE,0.9,Dongsi,2013-03-08 00:00:00
450.0,455.0,106.0,232.0,4900.0,107.0,5.3,1000.2,-1.8,0.0,WNW,0.9,Dongsi,2013-03-08 01:00:00
362.0,407.0,100.0,226.0,4799.0,107.0,4.1,999.9,-2.3,0.0,WNW,0.0,Dongsi,2013-03-08 02:00:00
322.0,364.0,89.0,216.0,4599.0,107.0,3.5,999.8,-2.5,0.0,SW,0.6,Dongsi,2013-03-08 03:00:00
308.0,336.0,72.0,189.0,4200.0,107.0,3.4,1000.2,-2.6,0.0,WSW,1.0,Dongsi,2013-03-08 04:00:00
296.0,322.0,55.0,184.0,4500.0,107.0,3.4,1001.0,-2.0,0.0,WNW,0.2,Dongsi,2013-03-08 05:00:00
123.0,131.0,60.0,196.0,4799.0,107.0,3.5,1001.6,-2.5,0.0,E,0.7,Dongsi,2013-03-08 06:00:00
3.0,6.0,60.0,190.0,5200.0,107.0,6.6,1002.2,-0.9,0.0,S,0.1,Dongsi,2013-03-08 07:00:00
3.0,223.0,69.0,200.0,6000.0,107.0,11.6,1002.3,-1.9,0.0,ESE,1.0,Dongsi,2013-03-08 08:00:00
311.0,373.0,92.0,199.0,5400.0,107.0,16.6,1002.6,-3.5,0.0,S,1.0,Dongsi,2013-03-08 09:00:00
260.0,197.0,81.1104,191.3396,1000.0,107.0,19.9,1002.4,-5.2,0.0,E,0.9,Dongsi,2013-03-08 10:00:00
200.0,203.0,55.0,188.0,3600.0,107.0,21.2,1002.0,-2.7,0.0,SE,3.1,Dongsi,2013-03-08 11:00:00
108.0,114.0,28.0,120.0,1800.0,107.0,21.7,1001.1,-4.4,0.0,SSW,2.9,Dongsi,2013-03-08 12:00:00
159.0,202.0,34.0,113.0,1800.0,107.0,17.2,1001.0,0.8,0.0,SE,3.5,Dongsi,2013-03-08 13:00:00
203.0,493.0,58.0,129.0,2799.0,107.0,13.8,1001.2,-0.3,0.0,SE,4.9,Dongsi,2013-03-08 14:00:00
284.0,422.0,84.0,138.0,3299.0,107.0,11.9,1001.5,-2.0,0.0,ESE,5.1,Dongsi,2013-03-08 15:00:00
163.0,240.0,58.0,106.0,1899.0,104.0,10.9,1001.7,-1.5,0.0,SE,2.4,Dongsi,2013-03-08 16:00:00
111.0,131.0,41.0,84.0,1200.0,99.0,9.9,1001.9,-1.5,0.0,SSE,1.6,Dongsi,2013-03-08 17:00:00
52.0,83.0,33.0,64.0,1000.0,99.0,9.2,1002.4,-1.0,0.0,SE,1.3,Dongsi,2013-03-08 18:00:00
88.0,111.0,30.0,82.0,1200.0,99.0,8.4,1002.4,-2.3,0.0,ESE,1.9,Dongsi,2013-03-08 19:00:00
58.0,72.0,35.0,89.0,1200.0,99.0,7.2,1002.2,-3.7,0.0,ESE,3.0,Dongsi,2013-03-08 20:00:00
57.0,80.0,30.0,85.0,1300.0,99.0,6.0,1002.0,-4.5,0.0,ESE,1.9,Dongsi,2013-03-08 21:00:00
87.0,43.0,40.0,96.0,1600.0,99.0,5.9,1001.1,-5.1,0.0,S,1.0,Dongsi,2013-03-08 22:00:00
48.0,53.0,50.0,84.0,1700.0,99.0,5.3,999.2,-5.1,0.0,SSE,0.4,Dongsi,2013-03-08 23:00:00
50.0,69.0,51.0,104.0,2299.0,99.0,4.4,997.9,-4.9,0.0,SSE,0.0,Dongsi,2013-03-09 00:00:00
58.0,77.0,55.0,79.0,2399.0,99.0,3.0,996.9,-4.2,0.0,N,0.1,Dongsi,2013-03-09 01:00:00
64.0,93.0,10.0,76.0,2399.0,99.0,2.6,995.9,-3.7,0.0,ENE,1.2,Dongsi,2013-03-09 02:00:00
74.0,98.0,52.0,89.0,1000.0,99.0,2.3,994.7,-4.2,0.0,E,0.9,Dongsi,2013-03-09 03:00:00
83.0,99.0,59.0,47.0,2100.0,99.0,1.7,993.7,-4.0,0.0,E,0.0,Dongsi,2013-03-09 04:00:00
81.0,108.0,71.0,110.0,2799.0,99.0,2.4,993.9,-3.9,0.0,NNW,1.7,Dongsi,2013-03-09 05:00:00
104.0,112.0,69.0,125.0,3000.0,99.0,4.0,994.1,-3.5,0.0,NW,1.4,Dongsi,2013-03-09 06:00:00
113.0,135.0,60.0,118.0,2399.0,99.0,5.0,994.7,-2.8,0.0,ENE,1.7,Dongsi,2013-03-09 07:00:00
110.0,140.0,60.0,116.0,2399.0,99.0,7.0,996.0,-3.3,0.0,SSE,0.4,Dongsi,2013-03-09 08:00:00
